Общая стоимость товаров,Общая сумма заказа,ID товара,Наименование,Артикул_x,Свободно,В резерве,Ед. изм,Цена закупки,Валюта цены представление,Артикул_y,Id,Количество товаров
4000,4349,148073790,стекло для подогреваемой платформы designer x pro/ designer x,3D-PICASO-1016,-4,4,шт,,,3D-PICASO-1016,,
800,1128.8,148073984,блок питания для raspberry pi 4,RPI-4-PSU,,,,,,,,
1190,1539,148073525,ubuntu server 18.04 (64 bit / usb l),ubuntu-server-1804-USB-64L,,,,,,,,
2130,2541,148073977,42 проекта на scratch 3 для юных программистов,lc1290,,,,,,,,
2130,2541,148073743,scratch и arduino для юных программистов и конструкторов,lc958,,,,,,,,
2130,2541,148073882,конструируем роботов на arduino. первые шаги,lc1128,,,,,,,,
2130,2541,148073881,конструируем роботов на scratchduino. первые шаги,lc1127,,,,,,,,
11200,11549,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
39600,39600,148073455,бессрочная лицензия альт рабочая станция 8,lc10020,,,,,,,,
6,6,148073627,переключатели kcd1-102-c1-b/3p on-on,lc100787,,,,,,,,
990,1339,148073865,электронный конструктор микроник,AMP-S016,,,,,,,,
599,948,148073813,электронный конструктор подъёмный кран,NDP-038,,,,,,,,
5400,5650,148073659,centos 7 (64 bit / 1 dvd l),centos-70-DVD-64L,,,,,,,,
500,767.60000000000002,148073732,ubuntu linux с нуля,lc947,,,,,,,,
3300,3589,148073487,токопроводящая краска bare conductive (50 мл),lc9202,,,шт,,,lc9202,,
1080,1080,154109145,moodle 3.7 (1dvd) (поставляется с лицензионным договором присоединения),moodle-37-1dvd-L,,,шт,180,,moodle-37-1dvd-L,,
5290,5290,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram),RPI-4B-4GB,,,,,,,,
300,550,148073782,клей picaso 3d для печати 150/350 мл (350 мл),3D-PICASO-GLUE-04,,,,,,,,
1599,1923,148074041,debian 10 (32 bit / 16 dvd),debian-100-16DVD-32,,,,,,,,
1219,1486.5999999999999,148073838,data science. наука о данных с нуля,lc1084,,,,,,,,
1219,1486.5999999999999,148073754,практическая статистика для специалистов data science. 50 важнейших понятий,lc972,,,,,,,,
600,880,148073789,комплект зубчатых ремней для picaso 3d designer,3D-PICASO-1015,-3,3,шт,240,,3D-PICASO-1015,,
2000,2250,148073968,настольная игра битва големов,lc1281,,,шт,1500,,lc1281,,
895,1484.2,148073432,apache openoffice 3.4 (1dvd) (поставляется с лицензионным договором присоединения),lc6807,,,,,,,,
9569,10019,148073960,источник бесперебойного питания 5 в 2.5 а для raspberry pi,GG-003631,,,,990,,,,
9569,10019,148073987,шилд quatroporta100,GG-005190,,2,шт,429,,GG-005190,,
170,170,148074000,конвертер rs232 to uart (quatro-модуль),GG-005079,,,шт,99,,GG-005079,,
6590,6590,154910621,подписка на печатную версию журнала «системный администратор» 01-12/2020 (почта россии),samag-2020-01-12-p,,,,5560,,,,
10071.99,10071.99,148073620,apache openoffice 4.1 (1 dvd l),OpenOffice-41-DVD-L,,,,,,,,
390,657.60000000000002,148073650,кружка tux!,lc101234,-3,6,шт,,,lc101234,,
5090,5373.1999999999998,148073861,электронный конструктор матрёшка z,AMP-S010,,,,,,,,
1080,1341,155732913,"журнал linux format #10 + dvd, октябрь 2018",lxf-242,,,,250,,,,
1080,1341,155732723,"журнал linux format #7 + dvd, июль 2018",lxf-238,,,шт,250,,lxf-238,,
1080,1341,155732789,"журнал linux format #9 + dvd, сентябрь 2018",lxf-241,,,,250,,,,
4840,5178,148073984,блок питания для raspberry pi 4 (raspberry),RPI-4-PSU,,,,,,,,
4840,5178,148726626,корпус для raspberry pi 4,RPI-4B-case,,,шт,,,RPI-4B-case-RW,,
